23:49:17: [INFO] [C:\Users\Waterloo\School\WARG\Onboard\autonomy-bootcamp-2025-p2\modules\telemetry\telemetry_worker.py | telemetry_worker | 51] Logger initialized
23:49:17: [DEBUG] [C:\Users\Waterloo\School\WARG\Onboard\autonomy-bootcamp-2025-p2\modules\telemetry\telemetry.py | create | 90] Telemetry instance created
23:49:17: [INFO] [C:\Users\Waterloo\School\WARG\Onboard\autonomy-bootcamp-2025-p2\modules\telemetry\telemetry_worker.py | telemetry_worker | 64] Telemetry started
23:49:17: [DEBUG] [C:\Users\Waterloo\School\WARG\Onboard\autonomy-bootcamp-2025-p2\modules\telemetry\telemetry.py | run | 132] Received ATTITUDE
23:49:17: [DEBUG] [C:\Users\Waterloo\School\WARG\Onboard\autonomy-bootcamp-2025-p2\modules\telemetry\telemetry.py | run | 135] Received LOCAL_POSITION_NED
23:49:17: [DEBUG] [C:\Users\Waterloo\School\WARG\Onboard\autonomy-bootcamp-2025-p2\modules\telemetry\telemetry.py | run | 132] Received ATTITUDE
23:49:17: [DEBUG] [C:\Users\Waterloo\School\WARG\Onboard\autonomy-bootcamp-2025-p2\modules\telemetry\telemetry.py | run | 135] Received LOCAL_POSITION_NED
23:49:17: [DEBUG] [C:\Users\Waterloo\School\WARG\Onboard\autonomy-bootcamp-2025-p2\modules\telemetry\telemetry.py | run | 132] Received ATTITUDE
23:49:18: [DEBUG] [C:\Users\Waterloo\School\WARG\Onboard\autonomy-bootcamp-2025-p2\modules\telemetry\telemetry.py | run | 132] Received ATTITUDE
23:49:18: [DEBUG] [C:\Users\Waterloo\School\WARG\Onboard\autonomy-bootcamp-2025-p2\modules\telemetry\telemetry.py | run | 135] Received LOCAL_POSITION_NED
23:49:18: [DEBUG] [C:\Users\Waterloo\School\WARG\Onboard\autonomy-bootcamp-2025-p2\modules\telemetry\telemetry.py | run | 132] Received ATTITUDE
23:49:18: [DEBUG] [C:\Users\Waterloo\School\WARG\Onboard\autonomy-bootcamp-2025-p2\modules\telemetry\telemetry.py | run | 135] Received LOCAL_POSITION_NED
23:49:18: [DEBUG] [C:\Users\Waterloo\School\WARG\Onboard\autonomy-bootcamp-2025-p2\modules\telemetry\telemetry.py | run | 132] Received ATTITUDE
23:49:19: [DEBUG] [C:\Users\Waterloo\School\WARG\Onboard\autonomy-bootcamp-2025-p2\modules\telemetry\telemetry.py | run | 132] Received ATTITUDE
23:49:19: [DEBUG] [C:\Users\Waterloo\School\WARG\Onboard\autonomy-bootcamp-2025-p2\modules\telemetry\telemetry.py | run | 135] Received LOCAL_POSITION_NED
23:49:19: [DEBUG] [C:\Users\Waterloo\School\WARG\Onboard\autonomy-bootcamp-2025-p2\modules\telemetry\telemetry.py | run | 132] Received ATTITUDE
23:49:19: [DEBUG] [C:\Users\Waterloo\School\WARG\Onboard\autonomy-bootcamp-2025-p2\modules\telemetry\telemetry.py | run | 135] Received LOCAL_POSITION_NED
23:49:19: [DEBUG] [C:\Users\Waterloo\School\WARG\Onboard\autonomy-bootcamp-2025-p2\modules\telemetry\telemetry.py | run | 132] Received ATTITUDE
23:49:20: [DEBUG] [C:\Users\Waterloo\School\WARG\Onboard\autonomy-bootcamp-2025-p2\modules\telemetry\telemetry.py | run | 132] Received ATTITUDE
23:49:20: [DEBUG] [C:\Users\Waterloo\School\WARG\Onboard\autonomy-bootcamp-2025-p2\modules\telemetry\telemetry.py | run | 135] Received LOCAL_POSITION_NED
23:49:20: [DEBUG] [C:\Users\Waterloo\School\WARG\Onboard\autonomy-bootcamp-2025-p2\modules\telemetry\telemetry.py | run | 132] Received ATTITUDE
23:49:20: [DEBUG] [C:\Users\Waterloo\School\WARG\Onboard\autonomy-bootcamp-2025-p2\modules\telemetry\telemetry.py | run | 135] Received LOCAL_POSITION_NED
23:49:20: [DEBUG] [C:\Users\Waterloo\School\WARG\Onboard\autonomy-bootcamp-2025-p2\modules\telemetry\telemetry.py | run | 132] Received ATTITUDE
23:49:21: [DEBUG] [C:\Users\Waterloo\School\WARG\Onboard\autonomy-bootcamp-2025-p2\modules\telemetry\telemetry.py | run | 132] Received ATTITUDE
23:49:21: [DEBUG] [C:\Users\Waterloo\School\WARG\Onboard\autonomy-bootcamp-2025-p2\modules\telemetry\telemetry.py | run | 135] Received LOCAL_POSITION_NED
23:49:21: [DEBUG] [C:\Users\Waterloo\School\WARG\Onboard\autonomy-bootcamp-2025-p2\modules\telemetry\telemetry.py | run | 132] Received ATTITUDE
23:49:21: [DEBUG] [C:\Users\Waterloo\School\WARG\Onboard\autonomy-bootcamp-2025-p2\modules\telemetry\telemetry.py | run | 135] Received LOCAL_POSITION_NED
23:49:21: [DEBUG] [C:\Users\Waterloo\School\WARG\Onboard\autonomy-bootcamp-2025-p2\modules\telemetry\telemetry.py | run | 132] Received ATTITUDE
23:49:22: [WARNING] [C:\Users\Waterloo\School\WARG\Onboard\autonomy-bootcamp-2025-p2\modules\telemetry\telemetry.py | run | 160] Telemetry timeout
23:49:23: [DEBUG] [C:\Users\Waterloo\School\WARG\Onboard\autonomy-bootcamp-2025-p2\modules\telemetry\telemetry.py | run | 132] Received ATTITUDE
23:49:23: [WARNING] [C:\Users\Waterloo\School\WARG\Onboard\autonomy-bootcamp-2025-p2\modules\telemetry\telemetry.py | run | 160] Telemetry timeout
23:49:24: [DEBUG] [C:\Users\Waterloo\School\WARG\Onboard\autonomy-bootcamp-2025-p2\modules\telemetry\telemetry.py | run | 135] Received LOCAL_POSITION_NED
23:49:24: [WARNING] [C:\Users\Waterloo\School\WARG\Onboard\autonomy-bootcamp-2025-p2\modules\telemetry\telemetry.py | run | 160] Telemetry timeout
23:49:25: [DEBUG] [C:\Users\Waterloo\School\WARG\Onboard\autonomy-bootcamp-2025-p2\modules\telemetry\telemetry.py | run | 132] Received ATTITUDE
