16:38:12: [INFO] [C:\Users\Waterloo\School\WARG\Onboard\autonomy-bootcamp-2025-p2\modules\command\command_worker.py | command_worker | 50] Logger initialized
16:38:12: [DEBUG] [C:\Users\Waterloo\School\WARG\Onboard\autonomy-bootcamp-2025-p2\modules\command\command.py | create | 63] Command instance created
16:38:12: [INFO] [C:\Users\Waterloo\School\WARG\Onboard\autonomy-bootcamp-2025-p2\modules\command\command_worker.py | command_worker | 62] Command object started
16:38:12: [DEBUG] [C:\Users\Waterloo\School\WARG\Onboard\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 116] Avg Velocity:  (0.0, 0.0, 4.0)
16:38:12: [DEBUG] [C:\Users\Waterloo\School\WARG\Onboard\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 116] Avg Velocity:  (0.0, 0.0, 1.0)
16:38:12: [DEBUG] [C:\Users\Waterloo\School\WARG\Onboard\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 116] Avg Velocity:  (0.0, 0.0, 0.6666666666666666)
16:38:12: [DEBUG] [C:\Users\Waterloo\School\WARG\Onboard\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 116] Avg Velocity:  (0.0, 0.0, 0.5)
16:38:12: [DEBUG] [C:\Users\Waterloo\School\WARG\Onboard\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 116] Avg Velocity:  (0.0, 0.0, 0.4)
16:38:12: [DEBUG] [C:\Users\Waterloo\School\WARG\Onboard\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 116] Avg Velocity:  (0.0, 0.0, 0.3333333333333333)
16:38:12: [DEBUG] [C:\Users\Waterloo\School\WARG\Onboard\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 116] Avg Velocity:  (0.0, 0.0, 0.2857142857142857)
16:38:12: [DEBUG] [C:\Users\Waterloo\School\WARG\Onboard\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 116] Avg Velocity:  (0.0, 2.5, 0.25)
16:38:12: [DEBUG] [C:\Users\Waterloo\School\WARG\Onboard\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 116] Avg Velocity:  (0.0, 4.444444444444445, 0.2222222222222222)
16:38:12: [DEBUG] [C:\Users\Waterloo\School\WARG\Onboard\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 116] Avg Velocity:  (0.0, 6.0, 0.2)
16:38:12: [DEBUG] [C:\Users\Waterloo\School\WARG\Onboard\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 116] Avg Velocity:  (1.8181818181818181, 5.454545454545454, 0.18181818181818182)
16:38:12: [INFO] [C:\Users\Waterloo\School\WARG\Onboard\autonomy-bootcamp-2025-p2\modules\command\command_worker.py | command_worker | 75] Command worker stopped
