16:39:10: [INFO] [C:\Users\Waterloo\School\WARG\Onboard\autonomy-bootcamp-2025-p2\modules\command\command_worker.py | command_worker | 48] Logger initialized
16:39:10: [DEBUG] [C:\Users\Waterloo\School\WARG\Onboard\autonomy-bootcamp-2025-p2\modules\command\command.py | create | 63] Command instance created
16:39:10: [INFO] [C:\Users\Waterloo\School\WARG\Onboard\autonomy-bootcamp-2025-p2\modules\command\command_worker.py | command_worker | 60] Command object started
16:39:10: [DEBUG] [C:\Users\Waterloo\School\WARG\Onboard\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 116] Avg Velocity:  (0.0, 0.0, 4.0)
16:39:10: [DEBUG] [C:\Users\Waterloo\School\WARG\Onboard\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 116] Avg Velocity:  (0.0, 0.0, 1.0)
16:39:10: [DEBUG] [C:\Users\Waterloo\School\WARG\Onboard\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 116] Avg Velocity:  (0.0, 0.0, 0.6666666666666666)
16:39:10: [DEBUG] [C:\Users\Waterloo\School\WARG\Onboard\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 116] Avg Velocity:  (0.0, 0.0, 0.5)
16:39:10: [DEBUG] [C:\Users\Waterloo\School\WARG\Onboard\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 116] Avg Velocity:  (0.0, 0.0, 0.4)
16:39:10: [DEBUG] [C:\Users\Waterloo\School\WARG\Onboard\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 116] Avg Velocity:  (0.0, 0.0, 0.3333333333333333)
16:39:10: [DEBUG] [C:\Users\Waterloo\School\WARG\Onboard\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 116] Avg Velocity:  (0.0, 0.0, 0.2857142857142857)
16:39:10: [DEBUG] [C:\Users\Waterloo\School\WARG\Onboard\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 116] Avg Velocity:  (0.0, 2.5, 0.25)
16:39:10: [DEBUG] [C:\Users\Waterloo\School\WARG\Onboard\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 116] Avg Velocity:  (0.0, 4.444444444444445, 0.2222222222222222)
16:39:10: [DEBUG] [C:\Users\Waterloo\School\WARG\Onboard\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 116] Avg Velocity:  (0.0, 6.0, 0.2)
16:39:10: [DEBUG] [C:\Users\Waterloo\School\WARG\Onboard\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 116] Avg Velocity:  (1.8181818181818181, 5.454545454545454, 0.18181818181818182)
16:39:10: [DEBUG] [C:\Users\Waterloo\School\WARG\Onboard\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 116] Avg Velocity:  (3.3333333333333335, 5.0, 0.16666666666666666)
16:39:10: [DEBUG] [C:\Users\Waterloo\School\WARG\Onboard\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 116] Avg Velocity:  (4.615384615384615, 4.615384615384615, 0.15384615384615385)
16:39:10: [DEBUG] [C:\Users\Waterloo\School\WARG\Onboard\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 116] Avg Velocity:  (4.285714285714286, 2.857142857142857, 0.14285714285714285)
16:39:10: [DEBUG] [C:\Users\Waterloo\School\WARG\Onboard\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 116] Avg Velocity:  (4.0, 1.3333333333333333, 0.13333333333333333)
16:39:10: [DEBUG] [C:\Users\Waterloo\School\WARG\Onboard\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 116] Avg Velocity:  (3.75, 0.0, 0.125)
16:39:10: [DEBUG] [C:\Users\Waterloo\School\WARG\Onboard\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 116] Avg Velocity:  (2.3529411764705883, 0.0, 0.11764705882352941)
16:39:10: [DEBUG] [C:\Users\Waterloo\School\WARG\Onboard\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 116] Avg Velocity:  (1.1111111111111112, 0.0, 0.1111111111111111)
16:39:10: [DEBUG] [C:\Users\Waterloo\School\WARG\Onboard\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 116] Avg Velocity:  (0.0, 0.0, 0.10526315789473684)
16:39:10: [DEBUG] [C:\Users\Waterloo\School\WARG\Onboard\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 116] Avg Velocity:  (0.0, 1.0, 0.1)
16:39:10: [DEBUG] [C:\Users\Waterloo\School\WARG\Onboard\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 116] Avg Velocity:  (0.0, 1.9047619047619047, 0.09523809523809523)
16:39:10: [DEBUG] [C:\Users\Waterloo\School\WARG\Onboard\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 116] Avg Velocity:  (0.0, 2.727272727272727, 0.09090909090909091)
16:39:10: [INFO] [C:\Users\Waterloo\School\WARG\Onboard\autonomy-bootcamp-2025-p2\modules\command\command_worker.py | command_worker | 71] Command worker stopped
