18:10:19: [INFO] [C:\Users\Waterloo\School\WARG\Onboard\autonomy-bootcamp-2025-p2\modules\common\modules\logger\logger_main_setup.py | setup_main_logger | 62] main logger initialized
18:10:20: [INFO] [C:\Users\Waterloo\School\WARG\Onboard\autonomy-bootcamp-2025-p2\tests\integration\test_heartbeat_receiver.py | main | 116] Connected!
18:10:20: [INFO] [C:\Users\Waterloo\School\WARG\Onboard\autonomy-bootcamp-2025-p2\tests\integration\test_heartbeat_receiver.py | read_queue | 67] Receiver state: Connected
18:10:21: [INFO] [C:\Users\Waterloo\School\WARG\Onboard\autonomy-bootcamp-2025-p2\tests\integration\test_heartbeat_receiver.py | read_queue | 67] Receiver state: Connected
18:10:22: [INFO] [C:\Users\Waterloo\School\WARG\Onboard\autonomy-bootcamp-2025-p2\tests\integration\test_heartbeat_receiver.py | read_queue | 67] Receiver state: Connected
18:10:23: [INFO] [C:\Users\Waterloo\School\WARG\Onboard\autonomy-bootcamp-2025-p2\tests\integration\test_heartbeat_receiver.py | read_queue | 67] Receiver state: Connected
18:10:24: [INFO] [C:\Users\Waterloo\School\WARG\Onboard\autonomy-bootcamp-2025-p2\tests\integration\test_heartbeat_receiver.py | read_queue | 67] Receiver state: Connected
18:10:25: [INFO] [C:\Users\Waterloo\School\WARG\Onboard\autonomy-bootcamp-2025-p2\tests\integration\test_heartbeat_receiver.py | read_queue | 67] Receiver state: Connected
18:10:26: [INFO] [C:\Users\Waterloo\School\WARG\Onboard\autonomy-bootcamp-2025-p2\tests\integration\test_heartbeat_receiver.py | read_queue | 67] Receiver state: Connected
18:10:27: [INFO] [C:\Users\Waterloo\School\WARG\Onboard\autonomy-bootcamp-2025-p2\tests\integration\test_heartbeat_receiver.py | read_queue | 67] Receiver state: Connected
18:10:28: [INFO] [C:\Users\Waterloo\School\WARG\Onboard\autonomy-bootcamp-2025-p2\tests\integration\test_heartbeat_receiver.py | read_queue | 67] Receiver state: Connected
18:10:29: [INFO] [C:\Users\Waterloo\School\WARG\Onboard\autonomy-bootcamp-2025-p2\tests\integration\test_heartbeat_receiver.py | read_queue | 67] Receiver state: Connected
18:10:30: [INFO] [C:\Users\Waterloo\School\WARG\Onboard\autonomy-bootcamp-2025-p2\tests\integration\test_heartbeat_receiver.py | read_queue | 67] Receiver state: Disconnected
18:10:31: [INFO] [C:\Users\Waterloo\School\WARG\Onboard\autonomy-bootcamp-2025-p2\tests\integration\test_heartbeat_receiver.py | read_queue | 67] Receiver state: Disconnected
18:10:32: [INFO] [C:\Users\Waterloo\School\WARG\Onboard\autonomy-bootcamp-2025-p2\tests\integration\test_heartbeat_receiver.py | read_queue | 67] Receiver state: Disconnected
18:10:33: [INFO] [C:\Users\Waterloo\School\WARG\Onboard\autonomy-bootcamp-2025-p2\tests\integration\test_heartbeat_receiver.py | read_queue | 67] Receiver state: Disconnected
18:10:34: [INFO] [C:\Users\Waterloo\School\WARG\Onboard\autonomy-bootcamp-2025-p2\tests\integration\test_heartbeat_receiver.py | read_queue | 67] Receiver state: Connected
18:10:35: [INFO] [C:\Users\Waterloo\School\WARG\Onboard\autonomy-bootcamp-2025-p2\tests\integration\test_heartbeat_receiver.py | read_queue | 67] Receiver state: Connected
18:10:36: [INFO] [C:\Users\Waterloo\School\WARG\Onboard\autonomy-bootcamp-2025-p2\tests\integration\test_heartbeat_receiver.py | read_queue | 67] Receiver state: Connected
18:10:37: [INFO] [C:\Users\Waterloo\School\WARG\Onboard\autonomy-bootcamp-2025-p2\tests\integration\test_heartbeat_receiver.py | read_queue | 67] Receiver state: Connected
18:10:38: [INFO] [C:\Users\Waterloo\School\WARG\Onboard\autonomy-bootcamp-2025-p2\tests\integration\test_heartbeat_receiver.py | read_queue | 67] Receiver state: Connected
18:10:39: [INFO] [C:\Users\Waterloo\School\WARG\Onboard\autonomy-bootcamp-2025-p2\tests\integration\test_heartbeat_receiver.py | read_queue | 67] Receiver state: Connected
18:10:40: [INFO] [C:\Users\Waterloo\School\WARG\Onboard\autonomy-bootcamp-2025-p2\tests\integration\test_heartbeat_receiver.py | read_queue | 67] Receiver state: Connected
