22:23:34: [INFO] [C:\Users\Waterloo\School\WARG\Onboard\autonomy-bootcamp-2025-p2\modules\common\modules\logger\logger_main_setup.py | setup_main_logger | 62] main logger initialized
22:23:35: [INFO] [C:\Users\Waterloo\School\WARG\Onboard\autonomy-bootcamp-2025-p2\tests\integration\test_command.py | main | 151] Connected!
22:23:35: [DEBUG] [C:\Users\Waterloo\School\WARG\Onboard\autonomy-bootcamp-2025-p2\tests\integration\test_command.py | read_queue | 78] Command ouput: Change Altitude: 1
22:23:35: [DEBUG] [C:\Users\Waterloo\School\WARG\Onboard\autonomy-bootcamp-2025-p2\tests\integration\test_command.py | read_queue | 78] Command ouput: Change Altitude: -1
22:23:35: [DEBUG] [C:\Users\Waterloo\School\WARG\Onboard\autonomy-bootcamp-2025-p2\tests\integration\test_command.py | read_queue | 78] Command ouput: Change YAW: 63.43494882292201
22:23:35: [DEBUG] [C:\Users\Waterloo\School\WARG\Onboard\autonomy-bootcamp-2025-p2\tests\integration\test_command.py | read_queue | 78] Command ouput: Change YAW: 90.0
22:23:35: [DEBUG] [C:\Users\Waterloo\School\WARG\Onboard\autonomy-bootcamp-2025-p2\tests\integration\test_command.py | read_queue | 78] Command ouput: Change YAW: 116.56505117707799
22:23:35: [DEBUG] [C:\Users\Waterloo\School\WARG\Onboard\autonomy-bootcamp-2025-p2\tests\integration\test_command.py | read_queue | 78] Command ouput: Change YAW: 45.0
22:23:35: [DEBUG] [C:\Users\Waterloo\School\WARG\Onboard\autonomy-bootcamp-2025-p2\tests\integration\test_command.py | read_queue | 78] Command ouput: Change YAW: 63.43494882292201
22:23:35: [DEBUG] [C:\Users\Waterloo\School\WARG\Onboard\autonomy-bootcamp-2025-p2\tests\integration\test_command.py | read_queue | 78] Command ouput: Change YAW: 90.0
22:23:35: [DEBUG] [C:\Users\Waterloo\School\WARG\Onboard\autonomy-bootcamp-2025-p2\tests\integration\test_command.py | read_queue | 78] Command ouput: Change YAW: 26.565051177077994
22:23:35: [DEBUG] [C:\Users\Waterloo\School\WARG\Onboard\autonomy-bootcamp-2025-p2\tests\integration\test_command.py | read_queue | 78] Command ouput: Change YAW: 45.0
22:23:35: [DEBUG] [C:\Users\Waterloo\School\WARG\Onboard\autonomy-bootcamp-2025-p2\tests\integration\test_command.py | read_queue | 78] Command ouput: Change YAW: 90.0
22:23:35: [DEBUG] [C:\Users\Waterloo\School\WARG\Onboard\autonomy-bootcamp-2025-p2\tests\integration\test_command.py | read_queue | 78] Command ouput: Change YAW: 45.0
22:23:35: [DEBUG] [C:\Users\Waterloo\School\WARG\Onboard\autonomy-bootcamp-2025-p2\tests\integration\test_command.py | read_queue | 78] Command ouput: Change YAW: 90.0
22:23:35: [DEBUG] [C:\Users\Waterloo\School\WARG\Onboard\autonomy-bootcamp-2025-p2\tests\integration\test_command.py | read_queue | 78] Command ouput: Change YAW: 135.0
22:23:35: [DEBUG] [C:\Users\Waterloo\School\WARG\Onboard\autonomy-bootcamp-2025-p2\tests\integration\test_command.py | read_queue | 78] Command ouput: Change YAW: -26.565051177077994
22:23:35: [DEBUG] [C:\Users\Waterloo\School\WARG\Onboard\autonomy-bootcamp-2025-p2\tests\integration\test_command.py | read_queue | 78] Command ouput: Change YAW: -45.0
22:23:35: [DEBUG] [C:\Users\Waterloo\School\WARG\Onboard\autonomy-bootcamp-2025-p2\tests\integration\test_command.py | read_queue | 78] Command ouput: Change YAW: -90.0
22:23:35: [DEBUG] [C:\Users\Waterloo\School\WARG\Onboard\autonomy-bootcamp-2025-p2\tests\integration\test_command.py | read_queue | 78] Command ouput: Change YAW: -45.0
22:23:35: [DEBUG] [C:\Users\Waterloo\School\WARG\Onboard\autonomy-bootcamp-2025-p2\tests\integration\test_command.py | read_queue | 78] Command ouput: Change YAW: -90.0
22:23:35: [DEBUG] [C:\Users\Waterloo\School\WARG\Onboard\autonomy-bootcamp-2025-p2\tests\integration\test_command.py | read_queue | 78] Command ouput: Change YAW: -135.0
22:23:35: [DEBUG] [C:\Users\Waterloo\School\WARG\Onboard\autonomy-bootcamp-2025-p2\tests\integration\test_command.py | read_queue | 78] Command ouput: Change YAW: -63.43494882292201
22:23:35: [DEBUG] [C:\Users\Waterloo\School\WARG\Onboard\autonomy-bootcamp-2025-p2\tests\integration\test_command.py | read_queue | 78] Command ouput: Change YAW: -90.0
22:23:35: [DEBUG] [C:\Users\Waterloo\School\WARG\Onboard\autonomy-bootcamp-2025-p2\tests\integration\test_command.py | read_queue | 78] Command ouput: Change YAW: -116.56505117707799
22:23:35: [DEBUG] [C:\Users\Waterloo\School\WARG\Onboard\autonomy-bootcamp-2025-p2\tests\integration\test_command.py | read_queue | 78] Command ouput: Change YAW: -45.00000000000005
22:23:35: [DEBUG] [C:\Users\Waterloo\School\WARG\Onboard\autonomy-bootcamp-2025-p2\tests\integration\test_command.py | read_queue | 78] Command ouput: Change YAW: -63.43494882292201
22:23:35: [DEBUG] [C:\Users\Waterloo\School\WARG\Onboard\autonomy-bootcamp-2025-p2\tests\integration\test_command.py | read_queue | 78] Command ouput: Change YAW: -90.0
22:23:36: [ERROR] [C:\Users\Waterloo\School\WARG\Onboard\autonomy-bootcamp-2025-p2\tests\integration\test_command.py | read_queue | 80] Queue read failed: 
