14:09:59: [INFO] [C:\Users\Waterloo\School\WARG\Onboard\autonomy-bootcamp-2025-p2\modules\telemetry\telemetry_worker.py | telemetry_worker | 47] Logger initialized
14:09:59: [DEBUG] [C:\Users\Waterloo\School\WARG\Onboard\autonomy-bootcamp-2025-p2\modules\telemetry\telemetry.py | create | 96] Telemetry instance created
14:09:59: [INFO] [C:\Users\Waterloo\School\WARG\Onboard\autonomy-bootcamp-2025-p2\modules\telemetry\telemetry_worker.py | telemetry_worker | 62] Telemetry started
14:09:59: [DEBUG] [C:\Users\Waterloo\School\WARG\Onboard\autonomy-bootcamp-2025-p2\modules\telemetry\telemetry.py | run | 141] Received ATTITUDE
14:09:59: [DEBUG] [C:\Users\Waterloo\School\WARG\Onboard\autonomy-bootcamp-2025-p2\modules\telemetry\telemetry.py | run | 144] Received LOCAL_POSITION_NED
14:09:59: [DEBUG] [C:\Users\Waterloo\School\WARG\Onboard\autonomy-bootcamp-2025-p2\modules\telemetry\telemetry.py | run | 141] Received ATTITUDE
14:09:59: [DEBUG] [C:\Users\Waterloo\School\WARG\Onboard\autonomy-bootcamp-2025-p2\modules\telemetry\telemetry.py | run | 144] Received LOCAL_POSITION_NED
14:09:59: [DEBUG] [C:\Users\Waterloo\School\WARG\Onboard\autonomy-bootcamp-2025-p2\modules\telemetry\telemetry.py | run | 141] Received ATTITUDE
14:10:00: [DEBUG] [C:\Users\Waterloo\School\WARG\Onboard\autonomy-bootcamp-2025-p2\modules\telemetry\telemetry.py | run | 141] Received ATTITUDE
14:10:00: [DEBUG] [C:\Users\Waterloo\School\WARG\Onboard\autonomy-bootcamp-2025-p2\modules\telemetry\telemetry.py | run | 144] Received LOCAL_POSITION_NED
14:10:00: [DEBUG] [C:\Users\Waterloo\School\WARG\Onboard\autonomy-bootcamp-2025-p2\modules\telemetry\telemetry.py | run | 141] Received ATTITUDE
14:10:00: [DEBUG] [C:\Users\Waterloo\School\WARG\Onboard\autonomy-bootcamp-2025-p2\modules\telemetry\telemetry.py | run | 144] Received LOCAL_POSITION_NED
14:10:00: [DEBUG] [C:\Users\Waterloo\School\WARG\Onboard\autonomy-bootcamp-2025-p2\modules\telemetry\telemetry.py | run | 141] Received ATTITUDE
14:10:01: [DEBUG] [C:\Users\Waterloo\School\WARG\Onboard\autonomy-bootcamp-2025-p2\modules\telemetry\telemetry.py | run | 141] Received ATTITUDE
14:10:01: [DEBUG] [C:\Users\Waterloo\School\WARG\Onboard\autonomy-bootcamp-2025-p2\modules\telemetry\telemetry.py | run | 144] Received LOCAL_POSITION_NED
14:10:01: [DEBUG] [C:\Users\Waterloo\School\WARG\Onboard\autonomy-bootcamp-2025-p2\modules\telemetry\telemetry.py | run | 141] Received ATTITUDE
14:10:01: [DEBUG] [C:\Users\Waterloo\School\WARG\Onboard\autonomy-bootcamp-2025-p2\modules\telemetry\telemetry.py | run | 144] Received LOCAL_POSITION_NED
14:10:01: [DEBUG] [C:\Users\Waterloo\School\WARG\Onboard\autonomy-bootcamp-2025-p2\modules\telemetry\telemetry.py | run | 141] Received ATTITUDE
14:10:02: [DEBUG] [C:\Users\Waterloo\School\WARG\Onboard\autonomy-bootcamp-2025-p2\modules\telemetry\telemetry.py | run | 141] Received ATTITUDE
14:10:02: [DEBUG] [C:\Users\Waterloo\School\WARG\Onboard\autonomy-bootcamp-2025-p2\modules\telemetry\telemetry.py | run | 144] Received LOCAL_POSITION_NED
14:10:02: [DEBUG] [C:\Users\Waterloo\School\WARG\Onboard\autonomy-bootcamp-2025-p2\modules\telemetry\telemetry.py | run | 141] Received ATTITUDE
14:10:02: [DEBUG] [C:\Users\Waterloo\School\WARG\Onboard\autonomy-bootcamp-2025-p2\modules\telemetry\telemetry.py | run | 144] Received LOCAL_POSITION_NED
14:10:02: [DEBUG] [C:\Users\Waterloo\School\WARG\Onboard\autonomy-bootcamp-2025-p2\modules\telemetry\telemetry.py | run | 141] Received ATTITUDE
14:10:03: [DEBUG] [C:\Users\Waterloo\School\WARG\Onboard\autonomy-bootcamp-2025-p2\modules\telemetry\telemetry.py | run | 141] Received ATTITUDE
14:10:03: [DEBUG] [C:\Users\Waterloo\School\WARG\Onboard\autonomy-bootcamp-2025-p2\modules\telemetry\telemetry.py | run | 144] Received LOCAL_POSITION_NED
14:10:03: [DEBUG] [C:\Users\Waterloo\School\WARG\Onboard\autonomy-bootcamp-2025-p2\modules\telemetry\telemetry.py | run | 141] Received ATTITUDE
14:10:03: [DEBUG] [C:\Users\Waterloo\School\WARG\Onboard\autonomy-bootcamp-2025-p2\modules\telemetry\telemetry.py | run | 144] Received LOCAL_POSITION_NED
14:10:03: [DEBUG] [C:\Users\Waterloo\School\WARG\Onboard\autonomy-bootcamp-2025-p2\modules\telemetry\telemetry.py | run | 141] Received ATTITUDE
14:10:04: [WARNING] [C:\Users\Waterloo\School\WARG\Onboard\autonomy-bootcamp-2025-p2\modules\telemetry\telemetry.py | run | 169] Telemetry timeout
14:10:05: [DEBUG] [C:\Users\Waterloo\School\WARG\Onboard\autonomy-bootcamp-2025-p2\modules\telemetry\telemetry.py | run | 141] Received ATTITUDE
14:10:05: [WARNING] [C:\Users\Waterloo\School\WARG\Onboard\autonomy-bootcamp-2025-p2\modules\telemetry\telemetry.py | run | 169] Telemetry timeout
14:10:06: [DEBUG] [C:\Users\Waterloo\School\WARG\Onboard\autonomy-bootcamp-2025-p2\modules\telemetry\telemetry.py | run | 144] Received LOCAL_POSITION_NED
14:10:06: [WARNING] [C:\Users\Waterloo\School\WARG\Onboard\autonomy-bootcamp-2025-p2\modules\telemetry\telemetry.py | run | 169] Telemetry timeout
14:10:07: [DEBUG] [C:\Users\Waterloo\School\WARG\Onboard\autonomy-bootcamp-2025-p2\modules\telemetry\telemetry.py | run | 141] Received ATTITUDE
14:10:07: [DEBUG] [C:\Users\Waterloo\School\WARG\Onboard\autonomy-bootcamp-2025-p2\modules\telemetry\telemetry.py | run | 144] Received LOCAL_POSITION_NED
14:10:07: [DEBUG] [C:\Users\Waterloo\School\WARG\Onboard\autonomy-bootcamp-2025-p2\modules\telemetry\telemetry.py | run | 144] Received LOCAL_POSITION_NED
14:10:07: [DEBUG] [C:\Users\Waterloo\School\WARG\Onboard\autonomy-bootcamp-2025-p2\modules\telemetry\telemetry.py | run | 141] Received ATTITUDE
14:10:07: [DEBUG] [C:\Users\Waterloo\School\WARG\Onboard\autonomy-bootcamp-2025-p2\modules\telemetry\telemetry.py | run | 144] Received LOCAL_POSITION_NED
14:10:08: [DEBUG] [C:\Users\Waterloo\School\WARG\Onboard\autonomy-bootcamp-2025-p2\modules\telemetry\telemetry.py | run | 141] Received ATTITUDE
